code_iris,revenu_median,taux_pauvrete,code_arrondissement,annee
751114110,19700.0,37.0,75111,2021
751114111,18350.0,39.0,75111,2021
751114112,12460.0,53.0,75111,2021
751114113,29490.0,23.0,75111,2021
751114114,31980.0,21.0,75111,2021
751114115,35490.0,12.0,75111,2021
751114201,26120.0,27.0,75111,2021
751114202,31220.0,20.0,75111,2021
751114203,37570.0,14.0,75111,2021
751114204,30380.0,19.0,75111,2021
751114205,38300.0,15.0,75111,2021
751114206,36660.0,15.0,75111,2021
751114207,41940.0,13.0,75111,2021
751114208,42990.0,12.0,75111,2021
751114209,36690.0,15.0,75111,2021
751114210,32220.0,20.0,75111,2021
751114211,36920.0,13.0,75111,2021
751114212,41470.0,9.0,75111,2021
751114213,36420.0,16.0,75111,2021
751114214,29530.0,21.0,75111,2021
751114301,23680.0,29.0,75111,2021
751114302,32590.0,20.0,75111,2021
751114303,20620.0,27.0,75111,2021
751114304,31240.0,13.0,75111,2021
751114305,27770.0,22.0,75111,2021
751114306,28970.0,21.0,75111,2021
751114307,29460.0,20.0,75111,2021
751114308,29420.0,21.0,75111,2021
751114309,30470.0,23.0,75111,2021
751114310,41280.0,13.0,75111,2021
751114311,32950.0,19.0,75111,2021
751114312,37950.0,15.0,75111,2021
751114313,39130.0,12.0,75111,2021
751114314,35100.0,14.0,75111,2021
751114315,31070.0,22.0,75111,2021
751114316,32370.0,19.0,75111,2021
751114317,36170.0,17.0,75111,2021
751114318,33380.0,16.0,75111,2021
751114319,25320.0,23.0,75111,2021
751114320,27710.0,20.0,75111,2021
751114321,30540.0,21.0,75111,2021
751114401,39790.0,11.0,75111,2021
751114402,38190.0,12.0,75111,2021
751114403,34760.0,15.0,75111,2021
751114404,37670.0,14.0,75111,2021
751114405,30850.0,23.0,75111,2021
751114406,34530.0,18.0,75111,2021
751114407,34590.0,15.0,75111,2021
751114408,37350.0,12.0,75111,2021
751114409,33550.0,17.0,75111,2021
751114410,32000.0,19.0,75111,2021
751114411,29950.0,19.0,75111,2021
751114412,32800.0,15.0,75111,2021
751114413,39540.0,10.0,75111,2021
751124501,21470.0,28.0,75112,2021
751124502,36440.0,13.0,75112,2021
751124503,32190.0,19.0,75112,2021
751124504,34360.0,18.0,75112,2021
751124505,36390.0,12.0,75112,2021
751124506,40000.0,15.0,75112,2021
751124507,32280.0,18.0,75112,2021
751124508,37410.0,12.0,75112,2021
751124509,33030.0,11.0,75112,2021
751124510,18260.0,37.0,75112,2021
751124511,17620.0,37.0,75112,2021
751124512,32950.0,21.0,75112,2021
751124513,37520.0,13.0,75112,2021
751124514,40670.0,8.0,75112,2021
751124601,30900.0,20.0,75112,2021
751124602,32840.0,15.0,75112,2021
751124603,36720.0,9.0,75112,2021
751124604,23400.0,28.0,75112,2021
751124605,30400.0,17.0,75112,2021
751124606,26100.0,23.0,75112,2021
751124608,35300.0,16.0,75112,2021
751124609,18140.0,35.0,75112,2021
751124610,36980.0,13.0,75112,2021
751124611,37750.0,11.0,75112,2021
751124612,35850.0,13.0,75112,2021
751124613,28670.0,18.0,75112,2021
751124614,38910.0,9.0,75112,2021
751124615,33780.0,16.0,75112,2021
751124616,37280.0,16.0,75112,2021
751124617,36410.0,11.0,75112,2021
751124618,37620.0,14.0,75112,2021
751124619,28970.0,20.0,75112,2021
751124620,32750.0,16.0,75112,2021
751124621,29720.0,23.0,75112,2021
751124623,40850.0,11.0,75112,2021
751124624,45390.0,8.0,75112,2021
751124701,30560.0,20.0,75112,2021
751124702,28870.0,23.0,75112,2021
751124703,26510.0,24.0,75112,2021
751124704,32320.0,13.0,75112,2021
751124705,25780.0,24.0,75112,2021
751124801,29910.0,20.0,75112,2021
751124802,25610.0,25.0,75112,2021
751124803,44820.0,13.0,75112,2021
751124804,42450.0,13.0,75112,2021
751124805,36150.0,15.0,75112,2021
751124806,38940.0,13.0,75112,2021
751124807,35280.0,14.0,75112,2021
751124808,42590.0,14.0,75112,2021
751124809,34940.0,17.0,75112,2021
751124810,37290.0,16.0,75112,2021
751134901,26450.0,21.0,75113,2021
751134902,24720.0,24.0,75113,2021
751134903,32830.0,17.0,75113,2021
751134904,18530.0,37.0,75113,2021
751134905,36300.0,12.0,75113,2021
751134906,38020.0,11.0,75113,2021
751134907,33600.0,15.0,75113,2021
751135001,17950.0,37.0,75113,2021
751135002,14930.0,45.0,75113,2021
751135003,18780.0,34.0,75113,2021
751135004,15710.0,41.0,75113,2021
