CODGEO,PMIMP,DECUC_Q2,DECUC_Q1,DECUC_Q3,BREV,DECUC_D1,DECUC_D9,DECUC_D1D9,DISP_Q2,DISP_Q1,DISP_Q3,TP60,DISP_D1,DISP_D9,DISP_D1D9,PACT,PPEN,PPSOC,PIMPOT,PPAT,NOTE_FILO,C,C_C2SNP,C_C2SP,NOTE_CNAM,A,APPA,ARSAS,AAAH,NOTE_CNAF,annee
6204862217,"29,2",14970,7930.0,21470.0,"42,6",1290.0,28250.0,"21,9",16360,12310.0,21370.0,"29,7",9600.0,26770.0,"2,8","61,8",32,"14,2","-12,2","4,2",0,11755.0,2381.0,414.0,0.0,3286.0,1280.0,822.0,327.0,0.0,2022
62065,"29,9",15010,8290.0,21520.0,"41,6",2140.0,28400.0,"13,3",16490,12350.0,21490.0,"29,4",9570.0,27000.0,"2,8",66,"28,4","14,1",-12,"3,5",0,16275.0,3273.0,628.0,0.0,4545.0,1704.0,1098.0,395.0,0.0,2022
6206562771,"27,5",14310,7800.0,20690.0,"44,6",1890.0,27520.0,"14,5",16010,12100.0,21000.0,"31,5",9440.0,26260.0,"2,8","63,8","29,1","15,2","-11,5","3,39999999999999",0,25175.0,5400.0,1085.0,0.0,7291.0,2711.0,1831.0,675.0,0.0,2022
6208362443,"32,4",16210,9790.0,23060.0,"36,7",4250.0,30040.0,"7,1",17340,13160.0,22810.0,"24,4",10190.0,28370.0,"2,8","68,4","28,5","11,9","-12,8","3,99999999999999",0,12269.0,1777.0,405.0,0.0,3354.0,1231.0,656.0,328.0,0.0,2022
62119,39,16710,8360.0,25740.0,"38,2",1390.0,37640.0,"27,2",17730,12620.0,24640.0,"27,6",9390.0,33990.0,"3,6","69,1","29,1","11,5","-17,9","8,20000000000002",0,28043.0,6584.0,2467.0,0.0,7745.0,2528.0,1879.0,717.0,0.0,2022
6211962848,"39,8",17250,9110.0,25750.0,"36,2",2120.0,37100.0,"17,5",18100,12910.0,24750.0,"25,9",9630.0,33750.0,"3,5","69,6","29,1","10,9","-17,6",8,0,31093.0,6788.0,2538.0,0.0,8453.0,2814.0,1962.0,776.0,0.0,2022
6212662480,"40,8",18810,12430.0,25700.0,"26,8",5860.0,33890.0,"5,8",19480,14450.0,24610.0,"18,3",11080.0,31560.0,"2,8","74,1","26,8","8,4",-15,"5,69999999999999",0,11023.0,1187.0,298.0,0.0,2653.0,964.0,438.0,194.0,0.0,2022
6213362351,"29,9",15310,8650.0,21630.0,"40,8",3220.0,28140.0,"8,8",16580,12600.0,21680.0,"27,8",9810.0,26880.0,"2,7","67,1","28,1","13,4",-12,"3,40000000000001",0,13154.0,2406.0,442.0,0.0,3582.0,1382.0,822.0,283.0,0.0,2022
6213362724,"29,7",15150,8370.0,21800.0,"41,4",3020.0,28640.0,"9,5",16590,12540.0,21720.0,"28,6",9870.0,27300.0,"2,8","67,9","26,7","13,9",-12,"3,5",0,15716.0,3000.0,595.0,0.0,4434.0,1548.0,1049.0,436.0,0.0,2022
62160,"35,1",15030,7520.0,22620.0,"42,6",1260.0,31530.0,25,16590,12290.0,22220.0,"29,8",9460.0,29310.0,"3,1","62,4","31,9","13,9","-14,4","6,2",0,36280.0,7839.0,1356.0,0.0,12451.0,4633.0,2957.0,1093.0,0.0,2022
